date,strike,option_type,close_price,wf_predicted_price,wf_mispricing,wf_z_score,signal,DTE,moneyness,OI_normalized,Volume_normalized,IV,ATM_IV,IV_relative
2025-12-01,61000,PE,1357.85,959.0646057310273,398.7853942689726,2.696329825773324,SELL,29,1.0220948420235132,1.1213474355375013,0.8462448747671616,0.11100867371565935,0.11085458959912212,0.00015408411653723697
2026-01-02,59000,CE,1510.65,1148.2205824804305,362.4294175195696,2.9859936434759318,SELL,25,0.9808656388635592,3.0244594959605413,1.0836888832404363,0.08531546343862068,0.10016530111445676,-0.014849837675836086
2026-01-07,61000,PE,1040.7,842.8849148958344,197.81508510416563,2.2945719151036283,SELL,20,1.0168217319807937,1.3583691872053225,1.0529193349469421,0.09882015548318451,0.10420196934456363,-0.00538181386137912
2026-01-16,59000,CE,1291.95,946.7124307331111,345.23756926688895,2.213164537652973,SELL,11,0.9817763995929788,2.7735355633598338,1.0651434929190033,0.10912128251211507,0.11702844601004932,-0.007907163497934244
2026-02-03,58500,CE,1921.4,902.9250818056387,1018.4749181943614,4.1276972603533,SELL,21,0.9743293366399461,2.901374013781532,1.4341838783112226,0.12834802002915616,0.12729781801273518,0.0010502020164209758
2026-02-03,58600,CE,1842.8,753.2204793232386,1089.5795206767614,4.447559848829949,SELL,21,0.9759948568735187,0.7512066429523497,0.5927648969731487,0.12922509669844048,0.12729781801273518,0.0019272786857053026
2026-02-03,58700,CE,1763.3,853.2839997865134,910.0160002134866,3.6397970536497155,SELL,21,0.9776603771070912,0.7139793966923219,0.516943870466252,0.12941453580159204,0.12729781801273518,0.002116717788856859
2026-02-06,61000,PE,1034.6,714.5305338428257,320.06946615717425,2.541158164955488,SELL,18,1.0146281096896153,1.9102241419565724,1.190731881912992,0.11848958951366216,0.11151065669863346,0.0069789328150287044
2026-02-06,59000,CE,1443.15,899.8081226309974,543.3418773690026,4.6937870596369775,SELL,18,0.9813616142899557,3.692952369834228,1.0725259145349924,0.10661897356365917,0.11151065669863346,-0.0048916831349742895
2026-02-09,59500,CE,1384.2,829.3197086087728,554.8802913912273,4.315572973082586,SELL,15,0.9807258525103698,2.1153131369424965,0.9038194712992202,0.08840686659713516,0.10904470847582183,-0.02063784187868667
2026-02-09,59000,CE,1830.6,903.2501331365341,927.3498668634658,7.529860053912158,SELL,15,0.9724844587917952,3.1885877882322804,0.7745543763785235,0.0680765715270149,0.10904470847582183,-0.040968136948806924
2026-02-11,61500,PE,879.25,641.2218933356161,238.02810666438393,2.058671821295522,SELL,13,1.0124231731317705,0.6082777288923438,0.7866511418893759,0.11232038303800658,0.10389648638210168,0.0084238966559049
2026-02-12,61500,PE,863.9,555.3379018885828,308.5620981114172,2.3545881939589095,SELL,12,1.0125165151321829,0.6561183744259613,1.454242935053806,0.1100580301088828,0.10473248473297245,0.005325545375910359
2026-02-16,60000,CE,1117.0,596.342627275116,520.657372724884,2.3134956801061675,SELL,8,0.9844279899128946,10.338385259686634,7.458863406357349,0.11390826699147806,0.12025636078553854,-0.006348093794060483
2026-02-16,59900,CE,1203.5,500.1644065810383,703.3355934189617,3.2384251190957465,SELL,8,0.9827872765963731,0.5714188969552497,0.8641404042240254,0.11451974852337292,0.12025636078553854,-0.005736612262165625
2026-02-16,60100,CE,1032.55,559.6874114175855,472.86258858241445,2.0715029416419948,SELL,8,0.9860687032294161,0.7244419763788059,2.2868409024928735,0.11326849855491919,0.12025636078553854,-0.006987862230619354
2026-02-16,59500,CE,1563.15,451.1216162797799,1112.02838372022,5.30770295537086,SELL,8,0.9762244233302871,1.5316529418138476,0.6067319202108806,0.11422971909061753,0.12025636078553854,-0.006026641694921009
2026-03-09,55000,CE,2261.7,3263.407855283185,-1001.7078552831854,-2.0271079588799004,BUY,21,0.981795722226784,3.26174727060493,1.9689756685975444,0.29691873013291153,0.24665016099118672,0.05026856914172481
2026-03-09,59000,PE,2990.0,1633.3401858093575,1356.6598141906425,2.0971675895301582,SELL,21,1.053199047479641,10.032518138747111,1.2101966889617908,0.20054442725266763,0.24665016099118672,-0.04610573373851909
2026-03-30,54000,PE,3820.25,875.0833167855066,2945.1666832144933,2.683838408825933,SELL,29,1.0740850138288447,5.725718208063311,1.211252263701112,0.2586317638785033,0.3296987555300935,-0.06001245710305704
2026-03-30,53500,PE,3451.7,1019.5458972981687,2432.154102701831,2.0822436515813902,SELL,29,1.0641397822193182,2.3368663315365517,0.6879670876238003,0.2667006951545593,0.3296987555300935,-0.06001245710305704
